TestModel_hidden_dims,trainer_Learning Rate,MSEConstraint
"[8, 8, 8]",0.0010000000000000002,0.00010814701090566814
"[8, 8, 8]",0.004641588833612781,0.009657083079218864
"[8, 8, 8]",0.02154434690031885,0.07635608315467834
"[8, 8, 8]",0.10000000000000006,0.27484092116355896
"[8, 16]",0.0010000000000000002,0.00013492049765773118
"[8, 16]",0.004641588833612781,0.0001844642247306183
"[8, 16]",0.02154434690031885,0.00015557157166767865
"[8, 16]",0.10000000000000006,0.0001456265163142234
"[8, 9]",0.0010000000000000002,0.00047496004845015705
"[8, 9]",0.004641588833612781,0.11653270572423935
"[8, 9]",0.02154434690031885,0.003001632634550333
"[8, 9]",0.10000000000000006,0.03364371135830879
[3],0.0010000000000000002,0.14046186208724976
[3],0.004641588833612781,0.19769294559955597
[3],0.02154434690031885,0.2537836730480194
[3],0.10000000000000006,0.1106390431523323
